Número de Pregunta,Tópico,Enunciado de la Pregunta,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Respuesta Correcta,Justificación Técnica
81,Tópico 3: Tipos de Señales,"Al comparar una señal estandarizada neumática de 3-15 psi con una eléctrica de 4-20 mA, ¿cuál es la principal desventaja operativa de la señal neumática en distancias largas?",El retardo de tiempo en la transmisión debido a la compresibilidad del aire y las caídas de presión por fricción.,La susceptibilidad inherente ante interferencias electromagnéticas severas provocadas por motores síncronos.,La imposibilidad absoluta de representar valores que se encuentren por debajo del 50% de la escala real del proceso.,La necesidad obligatoria de convertir todas las lecturas físicas directas a la escala absoluta Kelvin.,A,"El aire es un fluido compresible, por lo que los cambios de presión tardan un tiempo considerable en viajar por tuberías largas (retardo de propagación), limitando la velocidad de respuesta del lazo en plantas grandes."
82,Tópico 1: Introducción a la Automatización,"¿Qué característica define conceptualmente el principio de ""Retroalimentación"" (Feedback) en un lazo cerrado de control?",Es el proceso de medir continuamente la variable controlada para compararla con el Set Point y calcular la acción correctiva basada en el error.,Es la acción ciega del controlador que varía el flujo en la cañería sin verificar si se cumplió el objetivo en la planta.,Es la desconexión física y de seguridad de un sensor inteligente cuando la temperatura supera el límite criogénico.,Es el envío de datos de diagnóstico exclusivamente analógicos de 4-20 mA hacia las pantallas del software SCADA.,A,La retroalimentación consiste en tomar información de la salida del proceso (PV) y enviarla de regreso al inicio del lazo (controlador) para compararla con la referencia (SP) y ajustar la variable manipulada.
83,Tópico 4: Norma ISA 5.1,"De acuerdo con las tablas de codificación de la norma ISA 5.1, ¿cuál es el significado conceptual exacto de la letra ""D"" cuando se ubica como la primera letra de un Tag?",Designa la variable de Densidad o Diferencial (Diference / Density).,Indica de forma obligatoria que el dispositivo es un sensor Digital binario On/Off.,Define que el instrumento realiza una función pasiva de Desdesplazamiento lineal.,Representa el concepto de Diagnóstico interno de fallas de lazo en el PLC.,A,"Bajo la norma ISA 5.1, la letra ""D"" en la primera posición de la etiqueta funcional identifica la variable física de densidad o actúa para denotar una medición diferencial (como presión diferencial si se combina adecuadamente)."
84,Tópico 2: Componentes de un Lazo,"En la teoría de control industrial, ¿qué se entiende formalmente por ""Perturbación"" dentro de un proceso de planta?",Es cualquier factor o señal externa imprevista que altera el equilibrio del sistema y desvía la variable controlada de su Set Point.,Es la señal eléctrica estandarizada de 0 a 10 VCC que envía el transmisor cuando ocurre una rotura de cañería.,Es el algoritmo matemático interno que ejecuta el PLC para amplificar el error de un transductor analógico.,Es la calibración manual del cero vivo que realiza el personal técnico montajista sobre un interruptor de flujo.,A,"Las perturbaciones son entradas no deseadas ni controladas que afectan el estado del proceso de manera imprevista (como ruidos térmicos, cambios climáticos o variaciones de carga)."
85,Tópico 4: Norma ISA 5.1,"Si en un diagrama P&ID bajo norma ISA 5.1 se observa el símbolo de un círculo con dos líneas horizontales continuas y paralelas en su interior, ¿qué significa esta simbología?","Indica que el instrumento está montado en una ubicación auxiliar o panel secundario, siendo totalmente accesible para el operador.",Determina que el instrumento es de montaje local directo en campo y no tiene acceso a redes industriales.,Define que la función del dispositivo es lógica de software y se ejecuta de forma exclusiva en el variador de frecuencia.,Representa un enclavamiento de seguridad mecánica por hardware que se encuentra oculto detrás del tablero principal.,A,"Una línea horizontal continua indica montaje en panel principal accesible; dos líneas horizontales continuas indican que el instrumento está ubicado en un panel auxiliar o secundario, manteniendo la accesibilidad."
86,Tópico 3: Tipos de Señales,"Al analizar las señales analógicas industriales, ¿cuál es la principal ventaja técnica del estándar de corriente de 4-20 mA frente al estándar de voltaje de 0-10 VCC?",La corriente es inmune a las caídas de tensión por resistencia del cable en distancias largas y permite la detección de cables rotos mediante el cero vivo.,La señal de corriente permite conmutar de forma directa y mecánica los interruptores On/Off de las electroválvulas de potencia.,La corriente opera exclusivamente bajo la escala absoluta Kelvin eliminando los errores matemáticos de conversión analógica.,El lazo de corriente requiere obligatoriamente de buses de comunicación digital de alta velocidad para transportar los datos.,A,"La corriente se mantiene constante a lo largo de todo el lazo independientemente de la longitud del conductor (resistencia de línea), y el rango de 4-20 mA implementa el ""cero vivo"" para diagnóstico de lazos abiertos."
87,Tópico 4: Norma ISA 5.1,"Bajo la norma ISA 5.1, si un instrumento en un plano posee el Tag ""FIC-105"", ¿cuál es la descripción funcional exacta del dispositivo?",Controlador Indicador de Caudal ,Transmisor Indicador de Presión con alarma de flujo de masa.,Válvula de control proporcional con posicionador digital de nivel.,Interruptor digital de proximidad para control de velocidad angular.,A,"La primera letra ""F"" define la variable de flujo o caudal. Las letras sucesivas ""I"" y ""C"" indican que el instrumento tiene la función combinada de mostrar la lectura (Indicador) y regular la variable (Controlador)."
88,Tópico 2: Componentes de un Lazo,"¿Qué función operativa y conceptual cumple un ""Posicionador"" cuando se instala acoplado a una válvula de control proporcional en un lazo cerrado?",Compara la señal de control recibida del PLC con la posición real del vástago de la válvula y ajusta la presión neumática para corregir desviaciones mecánicas.,Mide la densidad del fluido en la tubería mediante principios ultrasónicos para enviar alarmas al software SCADA.,Convierte los pulsos digitales binarios en variaciones térmicas equivalentes a la escala absoluta Kelvin.,Actúa como un interruptor de límite On/Off que corta la energía del motor síncrono cuando la válvula se abre al 100%.,A,"El posicionador es un controlador secundario local mecánico o digital que garantiza que el actuador de la válvula alcance la apertura exacta ordenada por el PLC, venciendo la fricción y las fuerzas del fluido."
89,Tópico 4: Norma ISA 5.1,"Dentro de la norma ISA 5.1, ¿qué función específica representa la letra ""A"" cuando es utilizada como una letra sucesiva (segunda o tercera) en el Tag de un instrumento?",Representa una función de Alarma,Indica que el instrumento realiza una medición Analógica pura de planta.,Define que el dispositivo mide la variable física de Aceleración o Vibración.,Determina que el componente está instalado en una ubicación Auxiliar o remota.,A,"Cuando la letra ""A"" se encuentra en las posiciones sucesivas (no como primera letra), está normada estrictamente para identificar funciones de alarma (por ejemplo: LAH para alarma de nivel alto o TLA para alarma por baja temperatura)."
90,Tópico 1: Introducción a la Automatización,"¿A qué se refiere el concepto de ""Set Point"" o Punto de Consigna dentro de un algoritmo de control industrial?",Es el valor deseado o de referencia al que se pretende mantener la variable controlada del proceso.,Es el límite máximo de corriente de 20 mA que el transmisor intenta generar de manera matemática descendente.,Es la perturbación severa provocada por el oleaje interno que descalibra los transductores analógicos.,Es el registro continuo en papel que realiza un registrador local mecánico en la planta petroquímica.,A,El Set Point (SP) es la meta o valor objetivo fijado por el operador o el sistema jerárquico. El objetivo del lazo de control cerrado es hacer que la variable de proceso (PV) sea igual al Set Point.
91,Tópico 4: Norma ISA 5.1,Un plano P&ID muestra un círculo con una línea horizontal discontinua (punteada) que cruza su centro de extremo a extremo. ¿Qué le indica esta simbología gráfica al personal técnico sobre el instrumento?,Indica que el instrumento está montado detrás del tablero o en una ubicación no accesible para el operador.,Determina que el instrumento está integrado exclusivamente como software de control distribuido en el DCS principal.,Define que el dispositivo procesa señales hidráulicas de seguridad bajo condiciones de vacío absoluto.,Representa un elemento primario o sensor que está en contacto directo y local con el fluido de la cañería.,A,"Bajo la norma ISA 5.1, una línea horizontal discontinua o punteada en el interior de un círculo de instrumentación significa que el dispositivo está montado de forma oculta o en la parte posterior de un panel, considerándose no accesible."
92,Tópico 4: Norma ISA 5.1,"De acuerdo con las tablas de codificación de la norma ISA 5.1, ¿cuál es el significado conceptual exacto de la letra ""I"" cuando se ubica como la primera letra de un Tag?","Designa la variable de Corriente Eléctrica (Indicating no, ya que es primera letra).",Define que el instrumento realiza una función pasiva de Interrupción analógica.,Representa de manera mandatoria la variable física de Intensidad de Luz visible.,Indica que el dispositivo es de instalación Interna en salas de control remotas.,A,"Bajo la norma ISA 5.1, cuando la letra ""I"" se ubica en la primera posición (primera letra), está estrictamente reservada para identificar la variable física de corriente eléctrica."
93,Tópico 1: Introducción a la Automatización,"En un lazo cerrado de control, ¿a qué se refiere formalmente el concepto de ""Error"" o ""Desviación"" del sistema?",Es la diferencia matemática existente entre el valor del Set Point (SP) y el valor actual de la variable de proceso (PV).,Es el estado de falla catastrófica que ocurre cuando el transmisor analógico corta su línea y cae a cero miliamperios.,Es el porcentaje fijo del rango de calibración que el sensor pierde debido al desgaste mecánico por fricción.,Es la interferencia electromagnética severa provocada por los transductores de proximidad sobre el bus del PLC.,A,El error del sistema se define matemáticamente como la resta entre la consigna deseada y la variable medida (Error = SP - PV). El controlador usa este valor para calcular la acción correctiva.
94,Tópico 4: Norma ISA 5.1,"Dentro de la norma ISA 5.1, ¿qué función específica representa la letra ""H"" cuando es utilizada como una letra modificadora o sucesiva final (ej. en LAH o PSH)?",Indica una condición o límite de valor Alto,Define que el instrumento procesa variables bajo condiciones Hidráulicas de alta presión.,Representa una función interna de software dedicada al Historial de datos del SCADA.,Determina que el componente físico posee una carcasa Hermética para atmósferas explosivas.,A,"La letra ""H"" en las posiciones sucesivas o finales actúa como un modificador para indicar que el instrumento opera, activa una alarma o conmuta ante un valor o límite Alto (High)."
95,Tópico 2: Componentes de un Lazo,"¿Qué describe conceptualmente el término ""Planta"" o ""Proceso"" en el ámbito de la instrumentación y el control industrial?","Es el equipo físico, sistema o conjunto de operaciones mecánicas y químicas cuyas variables se desean regular de forma automática.",Es el algoritmo informático cerrado que ejecuta la lógica de comparación de datos en los canales de entrada del PLC.,Es la interfaz gráfica o HMI mediante la cual el operador introduce los valores del punto de consigna en Kelvin.,Es la red estandarizada de tuberías auxiliares de aire comprimido que suministra energía neumática de 3 a 15 psi.,A,"La planta o proceso es el sistema físico real (tanque, reactor, caldera, ducto) que contiene la masa o energía que se busca medir y controlar mediante el lazo de instrumentación."
96,Tópico 4: Norma ISA 5.1,"Si en un diagrama P&ID bajo norma ISA 5.1 se observa el símbolo de un círculo que no contiene líneas internas, pero está rodeado exteriormente por un cuadrado, ¿qué representa?",Representa una función de control o visualización compartida que está montada localmente en el campo de la planta.,Indica que el instrumento es un enclavamiento lógico que se ejecuta de forma exclusiva en la pantalla del SCADA central.,Define un instrumento mecánico analógico ciego que no tiene interacción alguna con señales analógicas de 4-20 mA.,Determina un elemento primario de seguridad que trabaja con enlaces hidráulicos en condiciones criogénicas remotas.,A,"Un círculo metido dentro de un cuadrado representa una función de control/visualización compartida (DCS, PLC o SCADA). Si no tiene líneas internas, significa que esa interfaz o función compartida está localizada localmente en campo, no en la sala de control principal."
97,Tópico 3: Tipos de Señales,"Al implementar sistemas de control industrial, ¿cuál es la principal característica operativa de una ""Señal Discreta"" o ""Digital Binaria""?","Posee únicamente dos estados lógicos posibles bien definidos (como encendido/apagado, abierto/cerrado, 0 o 1).",Varía de forma continua a lo largo del tiempo mapeando con precisión matemática exacta el perfil del proceso.,Requiere obligatoriamente ser calibrada utilizando la escala absoluta Kelvin para evitar derivas térmicas en el bus.,Su nivel de voltaje se atenúa proporcionalmente a la resistencia del cable de cobre en distancias largas de planta.,A,"A diferencia de las señales analógicas (que son continuas), las señales discretas o digitales binarias representan variables de estado con solo dos posibilidades operativas fijas (On/Off)."
98,Tópico 4: Norma ISA 5.1,"Bajo las reglas de codificación de la norma ISA 5.1, si un instrumento en un plano posee el Tag ""TW-204"", ¿cuál es el componente físico real que identifica?",Un termopozo o vaina de protección térmica (Thermowell).,Un transmisor de temperatura adaptado para operar bajo el agua.,Un interruptor digital de temperatura para alarmas de nivel crítico alto.,Una válvula proporcional accionada por variaciones de velocidad angular.,A,"La primera letra ""T"" define la variable de temperatura. La letra sucesiva ""W"" está normada para identificar elementos pasivos de conexión o pozos de protección (Wells / Sockets), representando un termopozo."
99,Tópico 2: Componentes de un Lazo,"¿Qué es conceptualmente un ""Transductor"" en un entorno de procesos industriales y cómo se relaciona con un sensor?","Es un dispositivo que convierte una forma de energía o magnitud física en otra, generalmente transformando señales menores del sensor en magnitudes eléctricas o neumáticas.",Es el software interno del PLC encargado de compilar el código lógico antes de transferir los datos al SCADA.,Es un interruptor electromecánico de flotador que corta directamente la alimentación de los motores de potencia de la planta.,Es la cañería o conducto de acero inoxidable encargado de transportar fluidos a presiones superiores a 60 bar.,A,"El transductor se encarga de la conversión de energía (por ejemplo, transformar el cambio de resistencia de un sensor en un voltaje o corriente utilizable por el transmisor o controlador)."
100,Tópico 4: Norma ISA 5.1,"Dentro de la norma ISA 5.1, ¿qué variable física de proceso representa la letra ""W"" cuando se ubica específicamente como la primera letra de un Tag?","Peso, Fuerza o Masa (Weight).",Humedad relativa del aire de proceso (Water/Humidity).,Caudal volumétrico totalizado de vapor de alta presión.,Velocidad de rotación angular en maquinaria pesada.,A,"De acuerdo con las tablas oficiales de variables de la norma ISA 5.1, la letra ""W"" en la primera posición de una etiqueta está asignada estrictamente a la medición de peso, fuerza o masa."
101,Tópico 1: Introducción a la Automatización,¿Qué limitación operativa fundamental posee un lazo de control cerrado si el sensor sufre un retraso de tiempo severo (tiempo muerto) al reportar la variable de proceso?,"El controlador tomará decisiones basadas en información desactualizada, lo que puede provocar oscilaciones severas e inestabilidad en la planta.",El sistema convertirá de forma obligatoria todas las entradas continuas en señales discretas binarias On/Off.,El transmisor elevará su corriente teórica por encima de los 20 mA intentando compensar la velocidad de la red.,Se anulará por completo el principio de retroalimentación haciendo que la válvula proporcional se cierre al 0%.,A,"El tiempo muerto o retraso en la medición es crítico en lazo cerrado; si el controlador recibe la lectura de la perturbación tarde, aplicará una corrección extemporánea que suele amplificar el error y volver inestable el proceso."
102,Tópico 5: Sensores de Temperatura,¿Qué principio físico fundamental rige el funcionamiento operativo de un termopar para la medición de temperatura en la industria?,"El efecto Seebeck, que establece que la unión de dos metales diferentes genera una fuerza electromotriz (voltaje) proporcional a la diferencia de temperatura.","El efecto piezoeléctrico, que produce una variación de corriente continua cuando se somete el sensor a esfuerzos mecánicos.",La variación lineal de la resistencia óhmica de un material conductor semiconductor debido a la agitación térmica molecular.,La emisión de radiación infrarroja de onda corta proporcional a la temperatura absoluta expresada en escala Kelvin.,A,"Un termopar se basa en el efecto Seebeck: al unir dos metales distintos en un extremo (unión de medición) y mantener el otro a otra temperatura (unión de referencia), aparece un voltaje del orden de los milivoltios (mV) proporcional al gradiente térmico."
103,Tópico 5: Sensores de Temperatura,¿Cómo varía la resistencia eléctrica de un sensor RTD (como el Pt100) a medida que se incrementa la temperatura del proceso?,Su resistencia aumenta de manera proporcional y altamente lineal con el incremento de la temperatura (posee coeficiente PTC).,Su resistencia disminuye de forma exponencial a medida que el sistema absorbe calor desde el proceso en planta.,"Su resistencia permanece estrictamente fija en 100 ohmios, pero incrementa el voltaje analógico de lazo de 4 a 20 mA.",Su resistencia oscila de forma binaria conmutando digitalmente entre cero ohmios y un estado de circuito abierto absoluto.,A,"Los detectores de temperatura por resistencia (RTD) metálicos poseen un coeficiente de temperatura positivo (PTC), lo que significa que su resistencia eléctrica aumenta conforme se eleva la temperatura."
104,Tópico 5: Sensores de Temperatura,"¿Cuál es el significado conceptual exacto del término ""Pt100"" utilizado comúnmente en la especificación técnica de un sensor industrial?",Indica que es un sensor fabricado de Platino que posee una resistencia eléctrica nominal de exactamente 100 ohmios a 0 °C.,Define que el instrumento es un termopar de Platino capaz de medir de forma lineal un rango térmico de hasta 100 Kelvin.,Significa que el dispositivo requiere una alimentación analógica de 100 Voltios de corriente continua para energizar su lazo.,Determina que el sensor genera una salida digital por pulsos que satura el canal del PLC al alcanzar los 100 °C.,A,"Pt representa el elemento químico químico Platino (material del conductor del sensor) y ""100"" especifica su resistencia óhmica base de 100 Ω a la temperatura de hielo fundente (0 °C)."
105,Tópico 5: Sensores de Temperatura,"En la instalación de un termopar, ¿cuál es la función conceptual y operativa del ""Cable de Compensación"" o de extensión?",Extender los terminales del termopar desde el punto de medición local hasta los instrumentos receptores o PLC sin introducir un error térmico en la unión fría.,Elevar la impedancia eléctrica del lazo analógico para conmutar el canal a un estado digital binario On/Off de seguridad.,Proteger físicamente los cables internos contra presiones mecánicas superiores a 60 bar mediante blindaje de acero inoxidable.,Convertir directamente la señal de milivoltios de campo en una salida estandarizada de voltaje de 0 a 10 VCC de forma lineal.,A,"El cable de compensación tiene propiedades termoeléctricas idénticas o muy similares a las del termopar. Su función es trasladar la ""unión de referencia"" o ""unión fría"" desde el cabezal del instrumento hasta un entorno de temperatura estable (como el tablero del PLC) sin generar termopares parásitos intermediarios."
106,Tópico 5: Sensores de Temperatura,¿Qué configuración física de cableado en un sensor RTD Pt100 ofrece la mayor precisión técnica al eliminar los efectos de la resistencia de los hilos de conexión en distancias largas?,La configuración de 4 hilos (cuatro conductores).,La configuración clásica de 2 hilos (dos conductores).,La conexión en lazo abierto mediante un solo cable coaxial blindado.,La interconexión neumática directa de 3 a 15 psi con cero vivo.,A,"La configuración de 4 hilos es la más precisa porque utiliza dos hilos independientes para inyectar una corriente constante conocida y otros dos hilos exclusivos de alta impedancia para medir el voltaje en el sensor, cancelando matemáticamente cualquier caída de tensión provocada por la resistencia propia de los cables conductores a lo largo del trayecto."
107,Tópico 5: Sensores de Temperatura,"Al comparar un Termopar con una RTD Pt100 en el ámbito industrial, ¿cuál es la principal ventaja operativa de un termopar?",Su capacidad para medir temperaturas extremadamente altas (rango amplio de hasta más de 1500 °C según el tipo) y su alta robustez mecánica.,Su perfecta linealidad matemática en todo su rango útil que evita escalamientos complejos en el algoritmo del PLC.,Su inmunidad absoluta ante ruidos electromagnéticos industriales provocados por variadores de frecuencia de gran potencia.,La generación directa de una señal analógica normalizada de 4-20 mA sin necesidad de transductores o transmisores intermedios.,A,"Los termopares cubren rangos de temperatura mucho mayores que las RTD (las cuales suelen limitarse a unos 600 °C o 800 °C máximo) y son físicamente más robustos para aplicaciones pesadas como hornos, fundiciones o turbinas de gas."
108,Tópico 5: Sensores de Temperatura,"Al comparar una RTD Pt100 con un Termopar, ¿cuál es la principal ventaja técnica que justifica elegir una RTD en procesos químicos estables?","Su excelente precisión, repetibilidad y estabilidad a largo plazo en rangos de temperatura bajos y moderados.",Su velocidad de respuesta instantánea ante perturbaciones violentas de tipo térmico en la cañería de vapor.,La generación directa de voltajes elevados del orden de los 24 VCC que mitigan el uso de buses industriales compartidos.,Su menor costo económico y su total inmunidad ante variaciones de resistencia provocadas por la longitud del cable conductor.,A,"Las RTD son los sensores de temperatura más precisos y estables disponibles para la industria, lo que las convierte en la opción predilecta para procesos que requieren un control térmico riguroso y de alta fidelidad dentro de su rango de operación útil."
109,Tópico 5: Sensores de Temperatura,"¿A qué se refiere el fenómeno de ""Autocalentamiento"" en un sensor RTD y cómo impacta en la confiabilidad del monitoreo?",Es el error de medición provocado por el calor generado internamente en la RTD debido al paso de la corriente de excitación eléctrica enviada por el PLC.,Es la elevación de temperatura en el termopar debido al rozamiento mecánico del fluido a presiones superiores a los 50 bar.,Es la calibración matemática automática que ejecuta el transmisor inteligente para compensar la deriva de la escala absoluta Kelvin.,Es la respuesta transitoria del sensor cuando una reacción exotérmica severa bloquea la cañería aguas arriba del lazo cerrado.,A,"Para medir la resistencia de una RTD se le debe hacer circular una corriente eléctrica de excitación. Esta corriente genera calor por efecto Joule en el elemento sensor, elevando su temperatura por encima de la del proceso real (autocalentamiento), por lo que dicha corriente debe ser siempre muy baja (típicamente de 1 mA o menos)."
110,Tópico 5: Sensores de Temperatura,"¿Qué define conceptualmente el término ""Unión Fría"" o unión de referencia en un sistema de medición basado en termopares?",Es la unión de los cables del termopar con los conductores de instrumentación donde se mide la temperatura ambiente de referencia para poder calcular la temperatura real en la punta del sensor.,Es el punto de congelamiento criogénico de la mezcla química donde la señal eléctrica del transductor se estabiliza a cero miliamperios.,Es el extremo soldado que está en contacto directo con el fluido de proceso dentro de la tubería o cámara de calentamiento de la planta.,Es la protección mecánica externa que aísla los circuitos integrados del PLC de los ruidos electromagnéticos del variador de frecuencia.,A,"Dado que un termopar mide el gradiente térmico entre sus dos extremos (según el efecto Seebeck), para deducir la temperatura absoluta del punto medido (unión caliente) es mandatorio conocer con exactitud la temperatura del extremo opuesto (unión fría o de referencia) y compensar matemáticamente su aporte de voltaje."
111,Tópico 5: Sensores de Temperatura,"De acuerdo con las clasificaciones normativas de termopares industriales, ¿cuáles son los metales que componen el termopar ""Tipo K"", uno de los más utilizados en la industria general?",Cromel (aleación de níquel-cromo) y Alumel (aleación de níquel-aluminio).,Hierro y Constantán (aleación de cobre-níquel).,Platino y Rodio en diferentes porcentajes de masa química pura.,Cobre y Constantán calibrados linealmente para ambientes de vacío absoluto.,A,"El termopar Tipo K está normado e integrado por una pierna positiva de Cromel y una pierna negativa de Alumel, ofreciendo un amplio rango térmico operativo a un costo económico competitivo."
112,Tópico 5: Sensores de Temperatura,"En la nomenclatura de termopares de metales nobles para aplicaciones de temperaturas extremas en hornos industriales, ¿qué letras asigna la norma para identificar los termopares basados en Platino y Rodio?","Tipos R, S y B.","Tipos J, K y T.","Tipos E, N y L.","Tipos X, Y y Z.",A,"Los termopares de metales nobles (Platino-Rodio) corresponden a las clasificaciones normalizadas R, S y B. Son capaces de soportar y medir con alta confiabilidad temperaturas muy elevadas (hasta 1600 °C o 1700 °C) sin fundirse ni degradarse rápidamente."
113,Tópico 5: Sensores de Temperatura,"Si una RTD Pt100 se cablea utilizando una configuración de 2 hilos para una distancia de 150 metros en planta, ¿qué efecto operativo indeseado se manifestará en el sistema de control?","La resistencia propia del cable conductor se sumará directamente a la resistencia de la Pt100, provocando un error sistemático de sobrelectura de temperatura en el PLC.",El canal de entrada analógica del PLC sufrirá un cortocircuito eléctrico debido a la saturación instantánea del lazo a 20 mA.,La señal analógica continua se transformará de manera irreversible en una señal discreta binaria de tipo On/Off con histéresis.,El transmisor inteligente conmutará automáticamente a la escala absoluta Kelvin desactivando las alarmas de proceso alto.,A,"En una conexión de 2 hilos, la resistencia de las líneas va en serie con el elemento Pt100. En distancias largas, la resistencia del cobre añade un valor óhmico significativo que el PLC interpreta falsamente como un incremento de temperatura del proceso."
114,Tópico 5: Sensores de Temperatura,"¿Qué diferencia física y constructiva existe entre un termopar tipo ""Unión Expuesta"" y uno de ""Unión Aislada"" respecto a su tiempo de respuesta y protección?","La unión expuesta tiene la soldadura fuera de la vaina metálica ofreciendo una respuesta térmica muy rápida, mientras que la aislada está protegida internamente contra la corrosión pero responde más lento.",La unión expuesta opera exclusivamente bajo señales neumáticas de 3-15 psi y la aislada trabaja únicamente con buses analógicos de 4-20 mA.,La unión aislada genera voltajes alternos senoidales de alta frecuencia y la expuesta trabaja bajo el principio binario On/Off.,La unión expuesta cancela por completo el autocalentamiento Joule y la aislada duplica el error provocado por la resistencia del cable.,A,"La unión expuesta deja los hilos soldados en contacto directo con el fluido, maximizando la velocidad de transferencia térmica (bajo tiempo muerto), mientras que la unión aislada encapsula la soldadura dentro de material cerámico y metal protector, aislándola eléctricamente y protegiéndola del medio químico nocivo a costa de ralentizar su velocidad de respuesta."
115,Tópico 5: Sensores de Temperatura,"¿Cuál es el comportamiento eléctrico estándar de una RTD del tipo ""Pt1000"" en comparación directa con la clásica Pt100?","Posee una resistencia nominal de 1000 ohmios a 0 °C, lo que minimiza el impacto del error provocado por la resistencia de los cables en conexiones de 2 hilos.",Genera voltajes termoeléctricos diez veces superiores bajo el efecto Seebeck estabilizando de forma digital el error del lazo cerrado.,Requiere obligatoriamente un bus de transmisión neumático para escalar su lectura dentro de la interfaz gráfica del software SCADA.,Funciona únicamente ante límites térmicos criogénicos por debajo del cero absoluto medido en la escala Kelvin.,A,"La Pt1000 tiene una base óhmica diez veces mayor (1000 Ω a 0 °C). Por ende, si los cables de conexión añaden, por ejemplo, 2 ohmios de resistencia, el error porcentual inducido en una Pt1000 es muchísimo menor y más despreciable que en una Pt100, facilitando su uso a 2 hilos en ciertas aplicaciones."
116,Tópico 5: Sensores de Temperatura,"En la industria petroquímica, ¿qué componente de montaje mecánico es obligatorio instalar para proteger tanto a una RTD como a un termopar de los efectos de la corrosión, la presión y la velocidad del fluido dentro de una cañería principal?",Un termopozo o vaina de protección de instrumentación térmica (Thermowell).,Un posicionador electro-neumático lineal con indicación compartida.,Un transductor de variables analógicas dotado de cero vivo redundante.,Un módulo de enclavamiento lógico gobernado por contactos secos digitales.,A,"El termopozo es un tubo o vaina metálica sellada que se inserta permanentemente en la tubería o reactor. El sensor de temperatura (termopar o RTD) se introduce dentro de este termopozo, permitiendo extraerlo para calibración o recambio sin necesidad de vaciar o detener el proceso industrial."
117,Tópico 5: Sensores de Temperatura,¿Qué fenómeno de falla termoeléctrica ocurre si los cables de extensión de un termopar sufren una degradación o cortocircuito físico intermedio en un punto del trayecto antes de llegar al tablero del PLC?,"Se crea una nueva unión térmica parásita (""falso termopar"") y el sistema de adquisición comenzará a medir erróneamente la temperatura existente en el punto del cortocircuito.",El transmisor analógico elevará instantáneamente su voltaje lineal a 110 VCA deteniendo los motores síncronos aguas abajo.,La resistencia de lazo caerá a un valor absoluto inverso forzando al controlador PID a operar en lazo abierto.,El algoritmo del controlador invertirá automáticamente el signo matemático de la variable medida frente al Set Point.,A,"Bajo el principio del efecto Seebeck, si los conductores del termopar entran en contacto físico accidental (cortocircuito) en un punto intermedio debido a daños por calor o mecánicos, ese nuevo punto de contacto actuará como la ""unión de medición"", provocando que el PLC procese la temperatura de ese lugar y no la de la punta del sensor."
118,Tópico 5: Sensores de Temperatura,"De acuerdo con las clasificaciones normalizadas de los sensores de temperatura, ¿cuál es la diferencia constructiva y de material básica entre un termistor (NTC/PTC) y una RTD industrial?","La RTD está fabricada con metales puros (como platino o níquel) de comportamiento altamente lineal, mientras que el termistor utiliza materiales semiconductores muy sensibles pero altamente no lineales.",La RTD funciona mediante la generación de milivoltios por efecto Seebeck y el termistor opera mediante enlaces neumáticos estandarizados.,El termistor requiere un cable de compensación especial de metales nobles y la RTD utiliza contactos secos de potencia On/Off.,La RTD posee un tiempo muerto de respuesta instantáneo y el termistor se limita de forma exclusiva a procesos a escala Kelvin.,A,"Las RTD emplean metales finos cuya resistencia cambia de forma predecible y lineal con la temperatura. Los termistores se construyen con óxidos metálicos semiconductores que muestran variaciones de resistencia muy drásticas ante pequeños cambios de temperatura, siendo muy útiles para sensar rangos estrechos o en electrónica de consumo masivo, pero carecen de la linealidad de alcance de una RTD industrial."
119,Tópico 5: Sensores de Temperatura,¿Por qué no se deben utilizar cables comunes de cobre para conectar directamente un termopar desde su cabezal de campo hasta la tarjeta de entradas analógicas de un PLC sin un transmisor intermedio?,Porque la unión de los hilos del termopar con los bornes de cobre genera nuevos termopares parásitos no compensados que falsean por completo el voltaje Seebeck medido.,Porque el cable de cobre común atenúa por completo las frecuencias de muestreo digital induciendo aliasing en el algoritmo del controlador.,Porque el cobre posee un coeficiente de autocalentamiento Joule tan alto que funde la soldadura física de la unión caliente en planta.,Porque la normativa ISA 5.1 prohíbe de forma mandatoria el uso de metales conductores simples en lazos analógicos de 4-20 mA.,A,"Si se conecta cobre común directamente a los terminales del termopar en campo, se crean uniones metálicas heterogéneas adicionales en ese cabezal. Estas uniones generan voltajes térmicos propios que distorsionan e invalidan la pequeña señal de milivoltios original que viaja hacia el PLC."
